م,اسم الطبق,الدولة الأكثر ارتباطًا بالصنف,المكونات لـ 4 أفراد,مستوى السهولة,مستوى التكلفة,يحتوي على بروتين,التوافق مع الشريعة الإسلامية
19,شاورما دمشقية,سوريا,لحمة بتلو، ثوم، خل، بهارات شاورما,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
20,شاورما لبنانية بالدجاج,لبنان,صدور دجاج، ثوم، ليمون، بهارات شاورما,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
21,فروج مشوي على الفحم,لبنان,دجاج كامل، ثوم، ليمون، بهارات,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
22,شيش طاووق لبناني,لبنان,صدور دجاج، ثوم، لبن زبادي، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
23,عرايس كبة,سوريا,برغل، لحمة مفرومة، جبنة أو صنوبر,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
24,كباب حلبي,سوريا,لحمة مفرومة، بصل، بهارات حلبية، صنوبر,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
25,كباب بالكرز,سوريا,لحمة مفرومة، كرز حلبي، بصل,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
26,لحم بعجين,لبنان,عجينة، لحمة مفرومة، طماطم، صنوبر,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
27,سفيحة حلبية,سوريا,عجينة، لحمة مفرومة، رمان، صنوبر,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
28,فتة حمص شامية,سوريا,حمص، خبز مقرمش، لبن زبادي، طحينة,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
29,حمص بالطحينة,لبنان,حمص مسلوق، طحينة، ليمون، ثوم,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
30,متبل باذنجان,لبنان,باذنجان مشوي، طحينة، ثوم، ليمون,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
31,بابا غنوج,لبنان,باذنجان مشوي، طحينة، رمان، ثوم,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
32,مسبحة حمص,لبنان,حمص، طحينة، كمون، زيت زيتون,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
33,فلافل شامية,لبنان,فول وحمص مطحون، بقدونس، كزبرة,متوسط,منخفض,نعم,حلال (بدون خمور أو خنزير)
34,مناقيش زعتر,لبنان,عجينة، زعتر، زيت زيتون,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
35,مناقيش لحم بعجين,لبنان,عجينة، لحمة مفرومة، صلصة طماطم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
36,مناقيش جبنة,لبنان,عجينة، جبنة عكاوي أو موزاريلا,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
37,عرايس جبنة,سوريا,خبز، جبنة، زعتر، زيت زيتون,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
38,سماقية غزاوية,فلسطين,سمك، سماق، سلق، طحينة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
39,زرب فلسطيني (لحمة مدفونة),فلسطين,لحمة ضاني، بصل، بهارات، تنور,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
40,سيخ حلبي مشوي,سوريا,لحمة مفرومة، بصل، فلفل حار، صنوبر,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
41,يخنة بامية شامية,سوريا,بامية، لحمة مكعبات، طماطم، ثوم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
42,يخنة فاصوليا بيضاء,سوريا,فاصوليا بيضاء، لحمة، طماطم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
43,يخنة ملوخية شامية,لبنان,ملوخية، دجاج، ثوم، كزبرة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
44,مسقعة شامية,سوريا,باذنجان، حمص، طماطم، زيت زيتون,متوسط,منخفض,نعم,حلال (بدون خمور أو خنزير)
45,فتوش بالدجاج المشوي,لبنان,خس، خبز مقرمش، صدور دجاج مشوية، سماق,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
46,سلطة الحاصباني (فاصوليا),لبنان,فاصوليا خضراء، طماطم، بصل، زيت زيتون,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
47,شوربة فريكة شامية,سوريا,فريكة، دجاج، بصل، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
48,شوربة عدس شامية,لبنان,عدس أصفر، كمون، ثوم، ليمون,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
49,كشك بالدجاج,سوريا,كشك (قمح مخمر باللبن)، دجاج، ثوم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
50,جلاية بندورة (بيض بالطماطم),لبنان,بيض، طماطم، بصل، فلفل,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
51,عجة بالبقدونس,لبنان,بيض، بقدونس، بصل,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
52,مسبحة بالحمص واللحمة,سوريا,حمص، لحمة مفرومة، طحينة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
53,كبة الرقبة (سيخ كبة),سوريا,برغل، لحمة، صنوبر,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
54,كبة زبدية,سوريا,لحمة مفرومة، برغل، طحينة، لبن,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
55,جبنة عكاوي مشوية بالخضار,فلسطين,جبنة عكاوي، فلفل، طماطم، زيت زيتون,سهل,متوسط,لا,حلال (بدون خمور أو خنزير)
56,سيخ عربي (كفتة مشوية),سوريا,لحمة مفرومة، بصل، بقدونس، بهارات,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
57,لحم مشوي على الفحم (مشاوي شامية),سوريا,لحمة ضاني، بصل، بهارات مشاوي,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
58,طاووق بالفرن مع الأرز,الأردن,دجاج مكعبات، أرز، ثوم، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
59,مقلوبة الباذنجان بالدجاج,الأردن,دجاج، باذنجان، أرز,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
60,مسخن بالخبز الطابون,الأردن,دجاج، خبز طابون، بصل، سماق,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
61,منسف الدجاج,الأردن,دجاج، جميد، أرز، لوز,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
62,سليق (أرز أحمر بالدجاج),الأردن,أرز أحمر، دجاج، بصل، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
63,زرب الأردني (لحمة بالفرن),الأردن,لحمة ضاني، بصل، بهارات,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
64,جريش باللحمة,الأردن,جريش (قمح مجروش)، لحمة، بصل,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
65,مقلوبة السبانخ,فلسطين,سبانخ، أرز، لحمة أو دجاج,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
66,مسخن السمك (صيادية شامية),فلسطين,سمك، أرز، بصل مقرمش، صنوبر,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
67,سمك مقلي بطحينة شامية,لبنان,سمك، طحينة، ليمون، ثوم,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
68,صيادية طرابلسية,لبنان,سمك، أرز، طحينة، بصل مقرمش,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
69,كبة سمك,سوريا,سمك مفروم، برغل، بصل,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
70,يخنة الملفوف باللحمة,سوريا,كرنب، لحمة مكعبات، طماطم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
71,محشي ملفوف شامي,سوريا,كرنب، أرز، لحمة مفرومة,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
72,محشي باذنجان بالحمص,لبنان,باذنجان، حمص، أرز، طماطم,متوسط,منخفض,نعم,حلال (بدون خمور أو خنزير)
73,رز بحليب باللحمة (بخاري شامي),سوريا,أرز، لحمة ضاني، لوز، زبيب,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
74,فتة الباذنجان,سوريا,باذنجان مقلي، خبز، لبن زبادي، ثوم,متوسط,منخفض,نعم,حلال (بدون خمور أو خنزير)
75,مسقعة اللحمة بالطحينة,سوريا,لحمة مفرومة، باذنجان، طحينة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
76,عدس بالرز شامي,لبنان,عدس، أرز، بصل مقرمش، كزبرة,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
77,سبانخ بالحمص (شامي),لبنان,سبانخ، حمص مسلوق، ثوم,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
78,بازلاء باللحمة شامية,سوريا,بازلاء، لحمة مكعبات، طماطم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
79,جوز الهند بالدجاج (طبق حلبي),سوريا,دجاج، جوز هند، بهارات حلبية,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
80,سيخ كفتة بالطحينة الشامي,لبنان,لحمة مفرومة، طحينة، ليمون,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
81,مقلوبة الزهرة باللحمة,فلسطين,زهرة (قرنبيط)، لحمة، أرز,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
82,خبيزة باللحمة,فلسطين,خبيزة (نبات)، لحمة مكعبات، ثوم,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
83,مفتقة (فتة الحمص بالسمن),الأردن,حمص، خبز، سمن بلدي، لبن,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
84,قدرة بندورة (يخنة طماطم),سوريا,طماطم، لحمة مفرومة، بصل، أرز,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
85,محاشي مشكلة شامية,سوريا,كوسة وباذنجان وفلفل، أرز، لحمة مفرومة,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
86,جبنة شنكليش بالسلطة,لبنان,شنكليش، طماطم، بصل، زيت زيتون,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
87,لبنة بزيت الزيتون مع الخبز,لبنان,لبنة، زيت زيتون، زعتر، خبز,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
88,فتة اللحمة الشامية,سوريا,لحمة مسلوقة، خبز، لبن زبادي، سمن,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
89,كباب كرز حلبي بالصينية,سوريا,لحمة مفرومة، كرز حلبي، بصل,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
90,ورق سلق محشي,سوريا,ورق سلق، أرز، لحمة مفرومة,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
91,مسخن اللحمة,فلسطين,لحمة، خبز طابون، بصل، سماق,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
92,طاجن كوسا بالبندورة,لبنان,كوسة، طماطم، بصل، زيت زيتون,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
93,يخنة البامية الحلبية,سوريا,بامية، لحمة، دبس رمان,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
94,كبة الصينية بالبطاطا,سوريا,برغل، لحمة مفرومة، بطاطس,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
95,رقاق بجبنة عكاوي,فلسطين,رقائق عجين، جبنة عكاوي، سمن,متوسط,متوسط,لا,حلال (بدون خمور أو خنزير)
96,مسخن البيض (عجة شامية),لبنان,بيض، بصل، بقدونس، سماق,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
97,شيش برك,سوريا,عجين صغير، لحمة مفرومة، لبن زبادي، ثوم,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
98,كبة بالصينية باللبن,سوريا,برغل، لحمة مفرومة، لبن زبادي,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
99,مسبحة الحمص بالكمون,لبنان,حمص، طحينة، كمون، ليمون,سهل,منخفض,نعم,حلال (بدون خمور أو خنزير)
100,سلطة الفتوش بالرمان,لبنان,خس، خبز، سماق، دبس رمان,سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
