م,اسم الطبق,الدولة,المكونات لـ 4 أفراد,مستوى السهولة,مستوى التكلفة,يحتوي على بروتين,التوافق مع الشريعة الإسلامية
36,ثريد إماراتي,الإمارات,خبز رقاق، مرقة لحمة، خضار,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
37,جشيد (أرز باللحمة والخل),الإمارات,أرز، لحمة، خل، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
38,بثيث إماراتي,الإمارات,دقيق، تمر، سمن، لحمة اختياري,سهل,منخفض,لا/اختياري,حلال (بدون خمور أو خنزير)
39,مضروبة سمك,الإمارات,سمك، أرز، بهارات، ليمون أسود,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
40,عريكة سمك,الإمارات,سمك، أرز، بهارات إماراتية,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
41,جبين حليب إماراتي بالدجاج,الإمارات,دجاج، حليب، أرز، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
42,مبوة إماراتية,الإمارات,تمر، سمك مقلي، أرز,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
43,مرچوق كويتي,الكويت,عجينة، خضار، لحمة، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
44,مبشوصة (فتة كويتية),الكويت,خبز، لحمة مفرومة، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
45,جراد كويتي (سمك),الكويت,سمك زبيدي، طماطم، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
46,مليحي كويتي,الكويت,سمك مملح، أرز، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
47,عيش لبن كويتي بالدجاج,الكويت,أرز، لبن، دجاج، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
48,مرقوقة كويتية باللحم,الكويت,عجينة، لحمة، خضار,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
49,قيمة كويتية (يخنة لحمة بالبازلاء),الكويت,لحمة مفرومة، بازلاء، طماطم، بصل,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
50,درابيل كويتية,الكويت,عجينة، لحمة مفرومة، بصل,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
51,زبيدي مقلي كويتي,الكويت,سمك زبيدي، بهارات، دقيق,سهل,مرتفع,نعم,حلال (بدون خمور أو خنزير)
52,رويس كويتي (سمك صغير مقلي),الكويت,سمك رويس، دقيق، بهارات,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
53,مچبوس دجاج,البحرين,دجاج، أرز، بهارات مچبوس، ليمون أسود,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
54,مچبوس لحم,البحرين,لحمة ضاني، أرز، بهارات مچبوس,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
55,مبقبق بحريني,البحرين,أرز مكسر، لحمة، بصل، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
56,بلاليط بحرينية (شعيرية حلوة باللحم),البحرين,شعيرية، سكر، بيض، لحمة اختياري,سهل,منخفض,لا/اختياري,حلال (بدون خمور أو خنزير)
57,مهياوة سمك بحرينية,البحرين,سمك مخمر، أرز، بصل,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
58,مطبق بحريني باللحم,البحرين,عجينة، لحمة مفرومة، بيض,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
59,قوزي بحريني,البحرين,لحمة ضاني، أرز، مكسرات,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
60,خضار مطهية بحرينية بالدجاج,البحرين,دجاج، خضار مشكلة، بهارات,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
61,مرگوق سمك بحريني,البحرين,سمك، عجينة، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
62,مچبوس روبيان,قطر,جمبري، أرز، بهارات مچبوس,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
63,مطر قطري (يخنة بازلاء باللحم),قطر,بازلاء، لحمة، طماطم,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
64,ثريد قطري,قطر,خبز رقاق، مرقة لحمة، خضار,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
65,بلحوش قطري,قطر,عجينة، تمر، سمن (حلو-مالح),سهل,منخفض,لا,حلال (بدون خمور أو خنزير)
66,عرسية قطرية (أرز بالدجاج المهروس),قطر,أرز، دجاج مهروس، سمن,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
67,مجبوس سمك قطري,قطر,سمك، أرز، بهارات مجبوس,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
68,سمبوسة قطرية باللحم,قطر,رقائق سمبوسة، لحمة مفرومة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
69,مجبوس لحم قطري,قطر,لحمة ضاني، أرز، بهارات,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
70,قبولي قطري بالدجاج,قطر,أرز، دجاج، جزر، زبيب,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
71,عمانية (مرق أرز باللحم),عمان,أرز، لحمة، بهارات عمانية,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
72,شواء عماني (مشكل),عمان,لحمة ضاني ولحم بقري، بهارات، ليمون عماني,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
73,رخال عماني,عمان,أرز، لحمة، بهارات، ليمون عماني مجفف,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
74,مسكن عماني,عمان,لحمة، أرز، بهارات، دخان,صعب,مرتفع,نعم,حلال (بدون خمور أو خنزير)
75,مطبق عماني باللحم,عمان,عجينة، لحمة مفرومة، بيض,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
76,عرسية عمانية (دجاج مهروس),عمان,دجاج، أرز، سمن,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
77,شعرية عمانية باللحم,عمان,شعيرية، لحمة مفرومة، بهارات,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
78,سيادية عمانية (سمك بالأرز),عمان,سمك، أرز، بصل مقرمش,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
79,عيش أصفر عماني بالدجاج,عمان,أرز، كركم، دجاج، بهارات,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
80,مسبح عماني (سمك مجفف بالأرز),عمان,سمك مجفف، أرز، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
81,مطازيز نجدية بالدجاج,السعودية,عجينة، دجاج، خضار، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
82,سمبوسة سعودية باللحم,السعودية,رقائق سمبوسة، لحمة مفرومة، بصل,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
83,مضربة دجاج,السعودية,دجاج، أرز، خضار، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
84,مرقوق دجاج نجدي,السعودية,عجينة، دجاج، خضار، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
85,كبسة روبيان,السعودية,جمبري، أرز، بهارات كبسة,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
86,كبسة سمك,السعودية,سمك، أرز، بهارات كبسة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
87,مضغوط لحم,السعودية,لحمة، أرز، بهارات، حامض,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
88,هريس دجاج,السعودية,قمح، دجاج، سمن,صعب,متوسط,نعم,حلال (بدون خمور أو خنزير)
89,قرصان دجاج,السعودية,خبز رقيق، مرقة دجاج، خضار,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
90,مفروكة إماراتية (تمر ودقيق),الإمارات,تمر، دقيق، سمن، لحمة اختياري,سهل,منخفض,لا/اختياري,حلال (بدون خمور أو خنزير)
91,جبين إماراتي باللحم,الإمارات,أرز، حليب، لحمة، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
92,سلونة دجاج إماراتية,الإمارات,دجاج، خضار، بهارات، مرقة,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
93,مضروبة دجاج,الإمارات,دجاج، أرز، بهارات، ليمون أسود,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
94,قيمة بحرينية (يخنة لحمة بالبازلاء),البحرين,لحمة مفرومة، بازلاء، طماطم,سهل,متوسط,نعم,حلال (بدون خمور أو خنزير)
95,مچبوس سمك بحريني,البحرين,سمك، أرز، بهارات مچبوس,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
96,سمبوسة بحرينية باللحم,البحرين,رقائق سمبوسة، لحمة مفرومة,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
97,مطبق كويتي بالدجاج,الكويت,عجينة، دجاج مفروم، بيض,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
98,جشيد دجاج كويتي,الكويت,أرز، دجاج، خل، بهارات,متوسط,متوسط,نعم,حلال (بدون خمور أو خنزير)
99,مبثوث قطري (تمر ودقيق باللحم),قطر,تمر، دقيق، سمن، لحمة اختياري,سهل,منخفض,لا/اختياري,حلال (بدون خمور أو خنزير)
100,مضروبة روبيان قطرية,قطر,جمبري، أرز، بهارات مچبوس,متوسط,مرتفع,نعم,حلال (بدون خمور أو خنزير)
