م,اسم الطبق,المكونات لـ 4 أفراد,مستوى السهولة,مستوى التكلفة,يحتوي على بروتين,التوافق مع الشريعة الإسلامية
47,ستروجانوف لحمة (ستايل مصري),شرائح لحمة 600جم، مشروم، كريمة طبخ، بصل,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
48,مكرونة بالبشاميل,مكرونة 500جم، لحمة مفرومة، صوص بشاميل، جبنة,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
49,مكرونة باللحمة المفرومة,مكرونة 500جم، لحمة مفرومة، صلصة طماطم,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
50,مكرونة بالصلصة والدجاج,مكرونة 500جم، دجاج مقطع، صلصة طماطم,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
51,مكرونة بالجبنة (نباتي),مكرونة 500جم، جبنة، بشاميل,سهل,منخفض,لا,حلال (لا يحتوي على خمور أو خنزير)
52,لازانيا باللحمة,رقائق لازانيا، لحمة مفرومة، بشاميل، جبنة,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
53,كنيلوني باللحمة,كنيلوني، لحمة مفرومة، صوص طماطم، جبنة,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
54,صيادية سمك,سمك بوري/بلطي، أرز أسمر، بصل مقرمش,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
55,صيادية اسكندراني,سمك، أرز، طحينة، بصل، فلفل أخضر,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
56,شاورما دجاج,صدور دجاج 700جم، ثوم، خل، بهارات شاورما، خبز,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
57,شاورما لحمة,لحمة بتلو شرائح 700جم، ثوم، خل، بهارات شاورما,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
58,حواوشي,لحمة مفرومة 600جم، عيش شامي/فينو، بصل، فلفل,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
59,فتة باللحمة,لحمة مسلوقة 600جم، خبز مقرمش، أرز، ثومية,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
60,فتة بالدجاج,دجاج مسلوق، خبز مقرمش، أرز، ثومية,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
61,فتة الفراخ بالأرز,دجاج، أرز، خبز، لبن زبادي وثوم,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
62,طاجن بامية بالجمبري,بامية 500جم، جمبري 400جم، طماطم، بصل,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
63,سبانخ باللحمة,سبانخ 1كجم، لحمة مكعبات، طماطم، بصل,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
64,كوسة باللبن,كوسة مسلوقة، لبن زبادي، ثوم، نعناع مجفف,سهل,منخفض,لا,حلال (لا يحتوي على خمور أو خنزير)
65,جرجير بالدجاج,جرجير، صدور دجاج مقطعة، ثوم، ليمون,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
66,شوربة خضار بالدجاج,خضار مشكلة، صدور دجاج، مرقة دجاج,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
67,شوربة لسان عصفور بالدجاج,لسان عصفور، دجاج مقطع، مرقة,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
68,حمام بركاني بالفريك,حمام، فريك، بصل، بهارات,صعب,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
69,كبدة فراخ مشوية,كبدة دجاج 600جم، ثوم، ليمون، زيت زيتون,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
70,سجق اسكندراني,سجق بقري 600جم، صلصة طماطم، فلفل أخضر,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
71,بسطرمة بالبيض,بسطرمة 200جم، بيض 8 حبات,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
72,بيض بالبسطرمة والجبنة,بيض، بسطرمة، جبنة رومي مبشورة,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
73,جبنة مشوية بالخضار (نباتي),جبنة حلوم/موزاريلا، كوسة، فلفل، طماطم,سهل,متوسط,لا,حلال (لا يحتوي على خمور أو خنزير)
74,فتوش بالدجاج,خس، طماطم، خيار، خبز مقرمش، صدور دجاج مشوية,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
75,سلطة تونة بالخضار,تونة معلبة 2 علبة، خس، طماطم، ذرة,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
76,طبق فول بالخضار والزيت,فول مدمس، طماطم، فلفل أخضر، زيت زيتون,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
77,مجدرة (عدس بالأرز),عدس بني، أرز، بصل مقرمش,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
78,كشري بالعدس الأسود,أرز، عدس أسود، مكرونة، صلصة، خل بالثوم,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
79,خضار سوتيه بالدجاج,دجاج مقطع، فلفل، جزر، بروكلي، صويا صوص,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
80,شيش طاووق,صدور دجاج مكعبات، زبادي، ثوم، بهارات شيش طاووق,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
81,شيش كباب لحمة,لحمة ضاني/بتلو مكعبات، بصل، بهارات,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
82,كفتة داود باشا,لحمة مفرومة، بصل، صلصة طماطم، صنوبر اختياري,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
83,كفتة بالطحينة,لحمة مفرومة، طحينة، ليمون، ثوم,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
84,فطير مشلتت باللحمة,عجينة فطير جاهزة، لحمة مفرومة، بصل,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
85,فطير مشلتت بالعسل والجبنة (نباتي),عجينة فطير، عسل نحل، جبنة قريش,سهل,منخفض,لا,حلال (لا يحتوي على خمور أو خنزير)
86,سمبوسة باللحمة,رقائق سمبوسة، لحمة مفرومة، بصل، بهارات,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
87,سمبوسة بالجبنة (نباتي),رقائق سمبوسة، جبنة موزاريلا وفيتا,متوسط,منخفض,لا,حلال (لا يحتوي على خمور أو خنزير)
88,بيتزا خضار وجبنة (نباتي),عجينة بيتزا، صلصة طماطم، خضار مشكلة، جبنة,متوسط,متوسط,لا,حلال (لا يحتوي على خمور أو خنزير)
89,بيتزا باللحمة المفرومة,عجينة بيتزا، لحمة مفرومة، جبنة، صلصة,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
90,برجر لحمة منزلي,لحمة مفرومة 600جم، خبز برجر، خس وطماطم,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
91,برجر دجاج منزلي,فيليه دجاج مفروم، خبز برجر، بقسماط,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
92,ستيك لحمة بالصوص,شرائح لحمة بتلو 700جم، صوص فطر أو فلفل أسود,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
93,ستيك دجاج بالفلفل الأسود,فيليه دجاج 700جم، صوص فلفل أسود,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
94,طاجن فطر بالدجاج,فطر (مشروم) 400جم، دجاج مقطع، كريمة طبخ,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
95,دجاج بالكاري والأرز,دجاج مقطع، بهارات كاري، حليب جوز الهند، أرز,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
96,طاجن لحمة بالخرشوف,خرشوف مجمد، لحمة مكعبات، طماطم، بصل,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
97,طاجن لحمة بالبسلة والجزر,لحمة مكعبات، بسلة، جزر، طماطم,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
98,رقاق باللحمة,عجينة رقاق، لحمة مفرومة، بصل، سمن,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
99,عدس أصفر بالأرز الشعرية,عدس أصفر، أرز بشعيرية، كمون,سهل,منخفض,نعم,حلال (لا يحتوي على خمور أو خنزير)
100,مكرونة بالفراخ والكاري,مكرونة، دجاج مقطع، بهارات كاري، كريمة,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
101,سمك مقلي بالطحينة,سمك بوري/بلطي مقلي، طحينة، ليمون,سهل,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
102,طاجن كبدة وكلاوي مشكل,كبدة وكلاوي بقري، فلفل أخضر، ثوم,متوسط,متوسط,نعم,حلال (لا يحتوي على خمور أو خنزير)
103,لحمة مفرومة بالبطاطس والجبنة (صينية فرن),لحمة مفرومة، بطاطس مقطعة، جبنة موزاريلا,متوسط,مرتفع,نعم,حلال (لا يحتوي على خمور أو خنزير)
104,طاجن أرز بالخضار (نباتي),أرز، خضار مشكلة، مرقة خضار,سهل,منخفض,لا,حلال (لا يحتوي على خمور أو خنزير)
